clade	inclusive_count	exclusive_count
B.1.1.406	92	92
B.1.1.408	33	33
B.1.1.41	173	173
B.1.1.413	51	51
B.1.1.416	790	790
B.1.1.418	47	47
B.1.1.420	187	187
B.1.1.421	7	7
B.1.1.423	12	12
B.1.1.425	5	5
B.1.1.426	18	18
B.1.1.428	57	57
B.1.1.429	52	52
B.1.1.43	69	69
B.1.1.432	436	436
B.1.1.434	924	924
B.1.1.437	18	18
B.1.1.438	2	2
B.1.1.44	265	265
B.1.1.440	11	11
B.1.1.441	13	13
B.1.1.445	25	25
B.1.1.447	2	2
B.1.1.448	10	5
B.1.1.45	60	60
B.1.1.450	50	50
B.1.1.453	98	98
B.1.1.458	7	7
B.1.1.459	33	33
B.1.1.46	31	31
B.1.1.461	12	12
B.1.1.463	12	12
B.1.1.464	263	263
B.1.1.467	14	14
B.1.1.47	101	101
B.1.1.48	30	30
B.1.1.480	31	31
B.1.1.482	16	16
B.1.1.485	16	16
B.1.1.486	221	221
B.1.1.487	55	55
B.1.1.49	58	58
B.1.1.5	38	38
B.1.1.50	111	111
B.1.1.500	7	7
B.1.1.506	2	2
B.1.1.507	16	16
B.1.1.51	570	570
B.1.1.512	27	27
B.1.1.513	2	2
B.1.1.514	26	26
B.1.1.517	106	106
B.1.1.518	52	52
B.1.1.519	12704	12704
B.1.1.521	87	87
B.1.1.523	165	165
B.1.1.524	3	3
B.1.1.525	12	12
B.1.1.528	41	41
B.1.1.529	2342559	36
B.1.1.54	5	5
B.1.1.55	72	72
B.1.1.57	28	28
B.1.1.58	80	80
B.1.1.59	182	182
B.1.1.61	66	66
B.1.1.63	872	872
B.1.1.67	218	218
B.1.1.7	598541	589816
B.1.1.70	1608	1024
B.1.1.71	78	78
B.1.1.72	16	16
B.1.1.74	218	218
B.1.1.75	39	6
B.1.1.77	17	17
B.1.1.8	188	180
B.1.1.82	26	26
B.1.1.83	336	336
B.1.1.86	26	26
B.1.1.88	2	2
B.1.1.89	132	132
B.1.1.92	30	30
B.1.1.93	9	9
B.1.1.95	56	56
B.1.1.97	30	30
B.1.1.98	38	38
B.1.103	56	56
B.1.104	232	232
B.1.105	106	106
B.1.106	24	24
B.1.108	89	89
B.1.110	1075	214
B.1.110.1	2	2
B.1.110.2	6	6
